,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,結果
単語の組,"(end, finish)","(end, finish)","(end, finish)","(end, finish)","(end, finish)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)"
齟齬発生したか？,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,11/15
齟齬発生時点,,,7,5,5,5,7,5,5,5,5,,5,4,5,5.25+-0.87
介入時点,,,,,,,,,,,,,,,,
齟齬解消したか？,,,no,no,no,no,no,no,no,no,no,,no,no,no,0/11
齟齬解消時点,,,,,,,,,,,,,,,,
効率指数,,,,,,,,,,,,,,,,
終了状態,5,5,3,4,3,3,3,4,4,3,3,5,3,3,4
質問文数,9,11,2,12,2,2,2,12,6,4,2,3,3,4,9,5.533333333
センテンス数,40,38,25,44,43,41,74,43,55,62,32,27,39,44,40,43.13333333
質問文割合,0.225,0.2894736842,0.08,0.2727272727,0.04651162791,0.0487804878,0.02702702703,0.2790697674,0.1090909091,0.06451612903,0.0625,0.1111111111,0.07692307692,0.09090909091,0.225,0.1339093456
