,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,結果
単語の組,"(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(end, finish)","(end, finish)","(end, finish)","(end, finish)","(end, finish)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)",
齟齬発生したか？,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,13/15
齟齬発生時点,7,5,5,7,7,,,5,5,5,5,5,5,5,5,5.46 +- 0.88
介入時点,8,6,6,8,8,,,6,6,6,6,6,6,6,6,6.46 +- 0.88
齟齬解消したか？,yes,yes,no?,yes,no,,,yes,no,no,yes,no,yes,no,no,6/13
齟齬解消時点,11,13,,14,,,,12,,,11,,16,,,12.83 +- 1.94
効率指数,4,8,,7,,,,7,,,6,,11,,,7.17 +- 2.32
終了状態,1,1,3,1,3,5,5,1,3,3,2,3,1,4,3,
質問文数,2,2,4,2,6,13,13,2,2,5,2,6,3,11,2,5
センテンス数,38,41,90,62,77,43,43,43,100,72,59,49,56,40,55,57.86666667
質問文割合,0.05263157895,0.0487804878,0.04444444444,0.03225806452,0.07792207792,0.3023255814,0.3023255814,0.04651162791,0.02,0.06944444444,0.03389830508,0.1224489796,0.05357142857,0.275,0.03636363636,0.1011950826
