,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,結果
単語の組,"(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(end, finish)","(end, finish)","(end, finish)","(end, finish)","(end, finish)",
齟齬発生したか？,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,12/15
齟齬発生時点,,5,5,,5,5,7,6,8,7,,12,7,13,6,7.17+-2.69
介入時点,,6,6,,6,6,8,7,9,8,,13,8,14,8,8.25+-2.67
齟齬解消したか？,,no,yes,,yes,no,yes,no,no,no,,yes,yes,yes,yes,7/12
齟齬解消時点,,,12,,9,,14,,,,,17,15,17,15,14.14+-2.85
効率指数,,,7,,4,,7,,,,,5,8,4,9,6.29+-1.98
終了状態,5,4,2,5,1,3,2,3,3,4,5,1,2,2,1,
質問文数,9,7,4,3,4,4,7,7,14,5,0,7,3,5,3,5.466666667
センテンス数,41,63,32,23,26,30,41,59,64,51,12,44,62,43,51,42.8
質問文割合,0.2195121951,0.1111111111,0.125,0.1304347826,0.1538461538,0.1333333333,0.1707317073,0.1186440678,0.21875,0.09803921569,0,0.1590909091,0.04838709677,0.1162790698,0.05882352941,0.1241322115
